# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
67 114316064272.500000  -0.007100 0.007163 68655  -0.000011 0.002029 0.024118 -0.036042  -0.721564 0.060485   68174 -0.000009 0.001972 -0.000026
68 114322854120.000000  -0.008334 0.007599 68657  -0.000005 0.002050 0.009305 -0.081275  -0.373379 0.031299   68275 -0.000003 0.002003 -0.000018
69 114329643967.500000  -0.007380 0.007228 68658  -0.000003 0.002016 -0.055809 0.024621  -0.194988 0.016345   68107 -0.000004 0.001952 0.000054
70 114336433815.000000  -0.007094 0.008136 68660  -0.000026 0.002035 0.038488 -0.008570  -1.792905 0.150291   68161 -0.000033 0.001975 -0.000038
71 114343223662.500000  -0.007545 0.007126 68661  -0.000001 0.002004 -0.046850 0.000640  -0.064962 0.005445   68156 -0.000000 0.001943 0.000028
72 114350013510.000000  -0.006815 0.007499 68664  0.000001 0.002005 0.058971 -0.092927  0.043086 -0.003612   68286 -0.000006 0.001961 -0.000037
73 114356803357.500000  -0.008648 0.008690 68683  -0.000009 0.002081 -0.005396 0.071993  -0.606033 0.050801   68172 -0.000005 0.002018 -0.000025
74 114363593205.000000  -0.008327 0.008237 68646  -0.000006 0.002038 0.036195 -0.031019  -0.420473 0.035246   68229 -0.000008 0.001986 -0.000040
75 114370383052.500000  -0.007392 0.006825 68661  0.000009 0.002029 -0.012524 0.038219  0.633227 -0.053080   68051 0.000015 0.001959 0.000026
76 114377172900.000000  -0.008262 0.007673 68660  0.000015 0.002021 0.021471 -0.059822  1.054058 -0.088357   68270 0.000011 0.001971 0.000014
77 114383962747.500000  -0.007500 0.008438 68658  0.000001 0.002093 0.017171 -0.049551  0.071957 -0.006032   68267 -0.000002 0.002041 -0.000010
78 114390752595.000000  -0.007700 0.007520 68658  0.000032 0.002007 -0.098468 -0.091643  2.192633 -0.183798   68256 0.000042 0.001959 0.000096
79 114397542442.500000  -0.008130 0.007540 68659  0.000003 0.002106 0.060133 0.009067  0.190117 -0.015937   68125 -0.000006 0.002038 -0.000025
80 114404332290.000000  -0.007326 0.008292 68661  -0.000018 0.002072 0.110592 0.131751  -1.269652 0.106429   68009 -0.000039 0.001990 -0.000060
81 114411122137.500000  -0.007876 0.007611 68663  0.000016 0.002111 0.037375 0.017337  1.121627 -0.094021   68117 0.000013 0.002043 -0.000008
82 114417911985.000000  -0.009240 0.009023 68662  -0.000001 0.002143 0.028368 0.083018  -0.069803 0.005851   68016 -0.000004 0.002061 -0.000034
83 114424701832.500000  -0.008828 0.007209 68660  -0.000027 0.002066 -0.055693 0.019225  -1.819873 0.152551   68181 -0.000016 0.002005 -0.000014
