# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
186 86773777798.000000  -0.002972 0.024096 89404  0.000011 0.000841 4.418392 91.842470  1.026264 -0.074018   88555 -0.000004 0.000709 0.000001
187 86779619845.000000  -0.007539 0.020873 89407  0.000007 0.000841 2.209360 40.598645  0.596050 -0.042990   88532 -0.000004 0.000746 -0.000001
188 86785461892.000000  -0.006696 0.022079 89410  0.000020 0.000855 3.186555 55.850411  1.828600 -0.131886   88484 0.000001 0.000723 0.000002
189 86791303939.000000  -0.003057 0.029219 89408  0.000021 0.000912 5.622371 123.170205  1.872754 -0.135071   88586 -0.000003 0.000734 -0.000003
190 86797145986.000000  -0.003284 0.026586 89414  0.000025 0.000944 6.569088 130.426373  2.216332 -0.159851   88562 -0.000003 0.000725 -0.000011
191 86802988033.000000  -0.002840 0.018022 89417  0.000015 0.000863 3.006291 44.022070  1.335702 -0.096336   88492 -0.000004 0.000733 -0.000008
192 86808830080.000000  -0.002756 0.008446 89422  0.000005 0.000734 0.355241 2.735516  0.459335 -0.033129   88696 -0.000001 0.000695 0.000001
193 86814672127.000000  -0.002932 0.003757 89425  -0.000002 0.000724 -0.029854 0.075665  -0.143731 0.010366   88759 -0.000000 0.000700 0.000004
194 86820514174.000000  -0.002741 0.002808 89424  -0.000001 0.000718 0.020433 -0.014930  -0.063233 0.004561   88809 -0.000002 0.000698 -0.000005
195 86826356221.000000  -0.002965 0.002654 89423  0.000003 0.000712 -0.044156 0.074854  0.225736 -0.016281   88638 0.000007 0.000686 0.000005
196 86832198268.000000  -0.002975 0.003195 89427  0.000000 0.000703 0.021785 0.029944  0.025640 -0.001849   88759 -0.000001 0.000682 -0.000001
197 86838040315.000000  -0.002692 0.003031 89430  -0.000001 0.000714 0.007342 -0.023620  -0.071837 0.005181   88829 -0.000001 0.000695 -0.000001
198 86843882362.000000  -0.002749 0.003203 89429  0.000001 0.000711 0.051186 0.058388  0.063138 -0.004554   88720 -0.000003 0.000687 -0.000006
199 86849724409.000000  -0.003254 0.002802 89429  -0.000006 0.000700 -0.016508 0.026848  -0.522912 0.037715   88788 -0.000005 0.000679 -0.000003
200 86855566456.000000  -0.003005 0.002784 89430  -0.000005 0.000724 -0.012074 -0.040868  -0.457197 0.032975   88815 -0.000005 0.000704 -0.000000
201 86861408503.000000  -0.002603 0.003392 89429  0.000003 0.000682 0.032873 0.073290  0.269615 -0.019446   88732 0.000002 0.000660 -0.000001
202 86867250550.000000  -0.002658 0.003089 89432  -0.000002 0.000701 0.067315 0.052349  -0.155542 0.011218   88768 -0.000005 0.000679 -0.000013
203 86873092597.000000  -0.002660 0.002811 89428  0.000000 0.000677 0.029945 0.019175  0.031445 -0.002268   88768 0.000000 0.000656 -0.000005
204 86878934644.000000  -0.003205 0.002734 89402  -0.000001 0.000714 -0.009403 0.036823  -0.091827 0.006623   88710 -0.000002 0.000691 0.000000
205 86884776691.000000  -0.002970 0.002884 89444  0.000004 0.000703 0.011315 0.029246  0.396182 -0.028574   88767 0.000003 0.000681 0.000003
206 86890618738.000000  -0.002758 0.003217 89427  0.000006 0.000696 0.017159 0.072700  0.555232 -0.040046   88702 0.000005 0.000673 0.000007
207 86896460785.000000  -0.002804 0.003237 89429  -0.000005 0.000712 0.038270 0.051968  -0.467759 0.033737   88730 -0.000006 0.000689 -0.000011
208 86902302832.000000  -0.002722 0.002735 89426  -0.000001 0.000705 0.002671 -0.063428  -0.088724 0.006399   88876 -0.000001 0.000687 -0.000003
209 86908144879.000000  -0.003016 0.002606 89426  -0.000000 0.000703 -0.018361 -0.036381  -0.025159 0.001815   88824 0.000000 0.000683 0.000001
210 86913986926.000000  -0.003018 0.003189 89427  0.000004 0.000704 0.027229 0.045715  0.357682 -0.025797   88750 0.000004 0.000681 -0.000000
211 86919828973.000000  -0.003025 0.003150 89428  -0.000003 0.000691 -0.001733 0.020433  -0.265123 0.019122   88733 -0.000002 0.000669 -0.000003
212 86925671020.000000  -0.002902 0.003313 89427  -0.000002 0.000695 -0.051596 0.040879  -0.177704 0.012817   88717 0.000002 0.000672 0.000002
213 86931513067.000000  -0.002870 0.002815 89429  0.000001 0.000712 0.002956 0.080280  0.111379 -0.008033   88665 0.000001 0.000687 -0.000001
214 86937355114.000000  -0.002970 0.002930 89426  -0.000002 0.000742 0.040574 -0.031213  -0.139072 0.010030   88835 -0.000004 0.000722 -0.000010
215 86943197161.000000  -0.002788 0.003324 89421  0.000001 0.000719 -0.019135 0.038949  0.048001 -0.003462   88720 0.000000 0.000696 0.000005
216 86949039208.000000  -0.002670 0.003132 89418  0.000001 0.000698 -0.010576 0.010604  0.114912 -0.008288   88769 0.000001 0.000678 0.000004
217 86954881255.000000  -0.002709 0.003068 89420  0.000006 0.000717 -0.020207 -0.041520  0.561297 -0.040483   88843 0.000006 0.000698 0.000011
218 86960723302.000000  -0.002885 0.002760 89421  -0.000001 0.000716 -0.058076 0.032251  -0.116656 0.008414   88725 0.000003 0.000693 0.000004
219 86966565349.000000  -0.002846 0.002898 89420  0.000003 0.000718 0.009624 -0.015128  0.262620 -0.018941   88816 0.000002 0.000698 0.000000
220 86972407396.000000  -0.002794 0.003091 89424  0.000005 0.000732 0.042492 -0.022426  0.488429 -0.035227   88827 0.000004 0.000711 0.000003
221 86978249443.000000  -0.003021 0.002551 89421  -0.000000 0.000696 -0.018738 -0.055191  -0.015236 0.001099   88868 0.000000 0.000678 0.000003
222 86984091490.000000  -0.003099 0.002881 89421  -0.000002 0.000708 -0.013362 -0.004217  -0.139916 0.010091   88807 0.000000 0.000688 -0.000004
223 86989933537.000000  -0.003618 0.002838 89422  -0.000003 0.000723 -0.030283 0.123119  -0.275768 0.019890   88659 -0.000002 0.000696 0.000002
224 86995775584.000000  -0.002693 0.003973 89422  0.000003 0.000725 0.074064 0.079676  0.249027 -0.017961   88732 -0.000001 0.000701 -0.000005
225 87001617631.000000  -0.002971 0.005371 89424  0.000002 0.000745 0.113437 0.319714  0.147279 -0.010622   88718 -0.000003 0.000719 -0.000010
226 87007459678.000000  -0.002988 0.011099 89421  0.000005 0.000774 0.587014 5.832879  0.488178 -0.035209   88683 -0.000003 0.000728 -0.000005
227 87013301725.000000  -0.002916 0.011100 89420  0.000007 0.000757 0.776735 8.179864  0.653961 -0.047166   88570 -0.000001 0.000701 0.000001
228 87019143772.000000  -0.002778 0.013522 89414  0.000004 0.000738 0.899740 11.621134  0.387549 -0.027952   88610 -0.000004 0.000687 -0.000009
229 87024985819.000000  -0.003257 0.006001 89413  0.000001 0.000730 0.026760 0.440101  0.060933 -0.004395   88737 0.000001 0.000704 0.000003
230 87030827866.000000  -0.003042 0.007712 89415  0.000003 0.000760 0.171158 0.930172  0.268301 -0.019351   88785 -0.000001 0.000732 -0.000006
231 87036669913.000000  -0.003783 0.014174 89410  0.000004 0.000774 0.980817 13.385551  0.330611 -0.023845   88612 -0.000003 0.000716 -0.000003
232 87042511960.000000  -0.003169 0.011248 89418  0.000012 0.000787 0.672747 6.669822  1.109983 -0.080056   88485 0.000004 0.000729 0.000007
233 87048354007.000000  -0.003149 0.004891 89393  0.000001 0.000761 0.099489 0.433927  0.132211 -0.009536   88707 -0.000003 0.000731 -0.000000
234 87054196054.000000  -0.003301 0.003524 89434  0.000007 0.000728 -0.006241 0.045944  0.626799 -0.045207   88749 0.000008 0.000705 0.000006
235 87060038101.000000  -0.003403 0.003229 89420  -0.000003 0.000741 -0.010307 0.021393  -0.226952 0.016369   88802 -0.000003 0.000719 -0.000001
236 87065880148.000000  -0.002834 0.002912 89418  -0.000001 0.000725 0.012917 -0.061384  -0.131934 0.009516   88877 -0.000002 0.000707 -0.000004
237 87071722195.000000  -0.002865 0.002824 89418  -0.000002 0.000698 0.001503 0.000568  -0.221821 0.015999   88760 -0.000002 0.000677 -0.000005
238 87077564242.000000  -0.003293 0.002927 89420  0.000000 0.000725 -0.005428 -0.001051  0.038753 -0.002795   88825 0.000000 0.000705 0.000004
239 87083406289.000000  -0.003286 0.003603 89417  0.000001 0.000712 0.034486 0.123900  0.093706 -0.006758   88708 -0.000001 0.000687 0.000001
240 87089248336.000000  -0.003158 0.003321 89422  0.000009 0.000723 -0.026381 0.016632  0.803683 -0.057965   88757 0.000011 0.000701 0.000012
241 87095090383.000000  -0.002630 0.002781 89424  0.000004 0.000704 0.015929 -0.064007  0.356036 -0.025679   88909 0.000004 0.000687 0.000001
242 87100932430.000000  -0.002992 0.003015 89419  -0.000001 0.000727 0.046060 0.079248  -0.127692 0.009210   88662 -0.000004 0.000701 -0.000010
243 87106774477.000000  -0.002989 0.002680 89419  -0.000001 0.000666 -0.017784 0.013879  -0.061820 0.004459   88777 0.000001 0.000646 -0.000001
244 87112616524.000000  -0.002885 0.002782 89416  -0.000000 0.000695 -0.002748 -0.065185  -0.030536 0.002202   88875 0.000001 0.000679 -0.000002
245 87118458571.000000  -0.003192 0.003050 89415  0.000002 0.000708 0.000324 0.024929  0.143621 -0.010358   88795 0.000003 0.000687 -0.000001
246 87124300618.000000  -0.003084 0.002821 89414  -0.000002 0.000694 -0.008247 0.022017  -0.204003 0.014714   88765 -0.000001 0.000673 -0.000003
247 87130142665.000000  -0.002815 0.002966 89410  -0.000001 0.000694 -0.029945 0.006525  -0.119421 0.008613   88761 -0.000000 0.000673 0.000003
248 87135984712.000000  -0.002925 0.003152 89410  -0.000005 0.000706 0.023094 0.060334  -0.470800 0.033956   88696 -0.000005 0.000682 -0.000009
249 87141826759.000000  -0.002829 0.003418 89415  0.000003 0.000705 0.011616 0.056854  0.242548 -0.017494   88770 0.000001 0.000684 0.000002
250 87147668806.000000  -0.002989 0.002831 89418  0.000005 0.000700 -0.015274 -0.057745  0.414770 -0.029915   88890 0.000005 0.000683 0.000007
251 87153510853.000000  -0.002973 0.003288 89416  -0.000001 0.000701 0.043428 0.069051  -0.105502 0.007609   88708 -0.000003 0.000677 -0.000009
252 87159352900.000000  -0.003163 0.003251 89418  -0.000000 0.000731 0.001029 0.045172  -0.028612 0.002064   88703 -0.000001 0.000707 0.000002
253 87165194947.000000  -0.003212 0.002857 89417  0.000002 0.000721 -0.004651 0.019495  0.201505 -0.014533   88741 0.000003 0.000699 0.000003
254 87171036994.000000  -0.003100 0.003543 89414  -0.000002 0.000753 -0.029051 0.082030  -0.186720 0.013467   88692 -0.000001 0.000728 0.000002
255 87176879041.000000  -0.003646 0.003314 89414  -0.000005 0.000727 -0.067551 0.061031  -0.434604 0.031345   88808 -0.000001 0.000704 0.000002
256 87182721088.000000  -0.003250 0.003418 89407  -0.000002 0.000757 -0.009768 -0.018702  -0.147015 0.010603   88830 -0.000003 0.000737 -0.000000
257 87188563135.000000  -0.003357 0.003912 89413  -0.000004 0.000745 -0.015970 0.121266  -0.378610 0.027307   88680 -0.000003 0.000719 -0.000003
258 87194405182.000000  -0.003085 0.005870 89411  0.000001 0.000770 0.080343 0.336008  0.114812 -0.008281   88714 -0.000002 0.000743 -0.000004
259 87200247229.000000  -0.002924 0.011629 89417  0.000009 0.000836 0.863760 8.860270  0.801968 -0.057841   88588 -0.000001 0.000771 0.000004
260 87206089276.000000  -0.003378 0.012093 89417  0.000009 0.000855 1.048517 9.701112  0.809507 -0.058385   88530 -0.000011 0.000781 -0.000017
261 87211931323.000000  -0.003387 0.013367 89417  0.000009 0.000903 0.971616 8.698447  0.819652 -0.059117   88292 -0.000012 0.000812 -0.000010
262 87217773370.000000  -0.003723 0.014145 89417  0.000020 0.001063 1.547343 12.884977  1.755334 -0.126602   88199 -0.000018 0.000914 -0.000010
263 87223615417.000000  -0.004326 0.015543 89409  0.000033 0.001170 2.091266 16.380612  2.907651 -0.209712   87871 -0.000022 0.000942 -0.000012
264 87229457464.000000  -0.004070 0.063167 89412  0.000073 0.001714 12.816114 323.723656  6.522767 -0.470448   87563 -0.000031 0.000938 -0.000036
265 87235299511.000000  -0.004340 0.072325 89415  0.000102 0.002101 14.114779 324.589467  9.146398 -0.659675   87741 -0.000022 0.000986 -0.000011
266 87241141558.000000  -0.004556 0.077017 89410  0.000100 0.002274 16.622828 405.664501  8.938693 -0.644695   87676 -0.000024 0.000954 -0.000026
267 87246983605.000000  -0.004687 0.076202 89412  0.000087 0.002102 15.897319 399.424662  7.813311 -0.563528   87906 -0.000026 0.000965 -0.000021
268 87252825652.000000  -0.004206 0.048528 89414  0.000075 0.001689 10.259005 186.372958  6.693932 -0.482793   88023 -0.000024 0.000931 -0.000026
269 87258667699.000000  -0.003717 0.058518 89413  0.000084 0.001731 11.691164 240.515379  7.476237 -0.539216   88083 -0.000024 0.000904 -0.000027
270 87264509746.000000  -0.004231 0.083977 89414  0.000085 0.001995 18.273139 524.548947  7.605237 -0.548520   88084 -0.000019 0.000873 -0.000026
271 87270351793.000000  -0.003785 0.075365 89414  0.000086 0.001981 16.547595 417.904524  7.731255 -0.557609   88046 -0.000022 0.000868 -0.000026
272 87276193840.000000  -0.004101 0.052415 89415  0.000069 0.001595 12.481024 278.730059  6.130108 -0.442128   87975 -0.000013 0.000875 -0.000007
273 87282035887.000000  -0.003444 0.034299 89419  0.000045 0.001311 8.435540 148.035842  4.054398 -0.292420   88141 -0.000010 0.000854 -0.000015
274 87287877934.000000  -0.003640 0.013742 89419  0.000019 0.000960 2.422882 25.220136  1.730404 -0.124804   88296 -0.000010 0.000802 -0.000009
275 87293719981.000000  -0.003217 0.008382 89421  -0.000001 0.000853 0.474078 2.603033  -0.101276 0.007304   88678 -0.000015 0.000803 -0.000023
276 87299562028.000000  -0.003319 0.005711 89422  0.000005 0.000814 0.256530 1.029092  0.420655 -0.030339   88461 -0.000007 0.000766 -0.000011
277 87305404075.000000  -0.003719 0.006946 89426  0.000001 0.000866 0.360312 1.909212  0.133738 -0.009646   88366 -0.000012 0.000805 -0.000012
278 87311246122.000000  -0.003852 0.013602 89426  0.000006 0.000964 1.051013 8.535460  0.525897 -0.037930   88191 -0.000023 0.000854 -0.000017
279 87317088169.000000  -0.003741 0.031160 89428  0.000032 0.001169 6.094945 109.473733  2.884610 -0.208050   88204 -0.000022 0.000862 -0.000017
280 87322930216.000000  -0.004495 0.030523 89432  0.000034 0.001259 7.498249 124.550453  3.037114 -0.219049   88201 -0.000020 0.000843 -0.000019
281 87328772263.000000  -0.003677 0.037642 89436  0.000039 0.001263 9.261513 197.315198  3.455911 -0.249254   88148 -0.000009 0.000843 -0.000001
282 87334614310.000000  -0.003573 0.032628 89438  0.000027 0.001078 6.529983 132.080399  2.449034 -0.176634   88272 -0.000014 0.000804 -0.000027
283 87340456357.000000  -0.003446 0.016427 89438  0.000021 0.000989 2.927756 32.080914  1.861378 -0.134250   88286 -0.000015 0.000802 -0.000014
284 87346298404.000000  -0.003697 0.032620 89440  0.000024 0.001078 5.996360 117.948477  2.122686 -0.153097   88317 -0.000019 0.000815 -0.000023
285 87352140451.000000  -0.003403 0.040594 89444  0.000032 0.001221 9.913705 227.468175  2.878818 -0.207632   88546 -0.000017 0.000828 -0.000024
286 87357982498.000000  -0.003088 0.028860 89445  0.000028 0.001123 5.836530 101.797759  2.514201 -0.181334   88365 -0.000016 0.000844 -0.000017
287 87363824545.000000  -0.004022 0.012422 89443  0.000016 0.000989 1.575218 12.761520  1.394876 -0.100604   88367 -0.000016 0.000856 -0.000019
288 87369666592.000000  -0.003702 0.008252 89438  0.000005 0.000891 0.486793 2.462911  0.470697 -0.033949   88654 -0.000012 0.000833 -0.000017
289 87375508639.000000  -0.003615 0.006805 89436  0.000004 0.000825 0.203197 0.968484  0.333962 -0.024087   88724 -0.000002 0.000789 -0.000012
290 87381350686.000000  -0.003612 0.004380 89431  -0.000005 0.000804 0.052429 0.176410  -0.446436 0.032199   88716 -0.000008 0.000775 -0.000008
291 87387192733.000000  -0.003275 0.006102 89423  0.000001 0.000834 0.055986 0.469529  0.073683 -0.005314   88667 -0.000002 0.000800 0.000011
292 87393034780.000000  -0.003049 0.009069 89410  0.000001 0.000793 0.315662 2.425983  0.056410 -0.004069   88591 -0.000005 0.000750 -0.000005
293 87398876827.000000  -0.003097 0.009253 89403  0.000005 0.000780 0.434233 3.736231  0.452410 -0.032630   88592 -0.000002 0.000733 0.000003
294 87404718874.000000  -0.002934 0.003375 89403  0.000001 0.000802 0.078199 0.024146  0.096611 -0.006968   88711 -0.000006 0.000776 -0.000009
295 87410560921.000000  -0.003533 0.003089 89404  0.000001 0.000772 0.003994 0.004796  0.117333 -0.008463   88748 0.000002 0.000749 -0.000003
296 87416402968.000000  -0.003422 0.003046 89407  -0.000004 0.000772 0.003780 0.017134  -0.347379 0.025054   88733 -0.000004 0.000748 -0.000006
297 87422245015.000000  -0.003405 0.003951 89414  0.000002 0.000788 0.027797 0.048726  0.215019 -0.015508   88758 0.000000 0.000764 -0.000000
298 87428087062.000000  -0.003316 0.004566 89412  0.000006 0.000777 0.077040 0.132879  0.534608 -0.038558   88716 0.000001 0.000751 -0.000007
299 87433929109.000000  -0.003206 0.004447 89412  -0.000001 0.000773 0.036225 0.089090  -0.062012 0.004473   88740 -0.000003 0.000749 -0.000001
300 87439771156.000000  -0.003040 0.004991 89419  0.000001 0.000752 0.040705 0.152568  0.063750 -0.004598   88699 -0.000001 0.000726 -0.000000
301 87445613203.000000  -0.003180 0.004149 89419  -0.000004 0.000773 0.014113 -0.013294  -0.347562 0.025068   88848 -0.000006 0.000753 -0.000004
302 87451455250.000000  -0.003020 0.003345 89418  0.000002 0.000776 0.041058 -0.033360  0.215376 -0.015534   88862 -0.000000 0.000756 -0.000001
303 87457297297.000000  -0.003208 0.005968 89421  0.000003 0.000790 0.056839 0.343146  0.242781 -0.017510   88685 0.000002 0.000761 0.000003
304 87463139344.000000  -0.003695 0.004091 89418  -0.000000 0.000808 0.036904 0.139232  -0.036523 0.002634   88640 -0.000001 0.000778 -0.000006
305 87468981391.000000  -0.003128 0.004855 89417  -0.000001 0.000787 0.009944 0.123085  -0.119611 0.008627   88709 0.000001 0.000761 0.000000
306 87474823438.000000  -0.003168 0.003713 89419  -0.000004 0.000765 -0.013866 -0.004807  -0.386335 0.027864   88803 -0.000003 0.000743 -0.000006
307 87480665485.000000  -0.003104 0.004413 89423  -0.000003 0.000772 0.053625 0.056469  -0.275541 0.019873   88806 -0.000006 0.000749 -0.000006
308 87486507532.000000  -0.003237 0.003022 89423  0.000000 0.000772 -0.029427 -0.046736  0.015614 -0.001126   88892 0.000003 0.000753 0.000002
309 87492349579.000000  -0.003289 0.003890 89427  -0.000003 0.000768 0.015423 0.110081  -0.260098 0.018759   88704 -0.000005 0.000741 -0.000001
310 87498191626.000000  -0.003571 0.003055 89420  0.000002 0.000787 -0.033512 -0.029813  0.223048 -0.016087   88866 0.000003 0.000767 0.000008
311 87504033673.000000  -0.003216 0.003998 89419  0.000004 0.000785 0.029377 0.109119  0.377567 -0.027232   88687 0.000002 0.000758 0.000004
312 87509875720.000000  -0.003252 0.004409 89422  0.000009 0.000792 0.049160 0.080917  0.782930 -0.056468   88773 0.000006 0.000767 -0.000001
313 87515717767.000000  -0.003334 0.003425 89428  -0.000000 0.000788 0.025381 0.079266  -0.005340 0.000385   88654 -0.000003 0.000760 -0.000002
314 87521559814.000000  -0.003155 0.004078 89430  0.000002 0.000786 0.001687 0.061842  0.221635 -0.015985   88738 0.000002 0.000761 0.000005
315 87527401861.000000  -0.003080 0.004372 89426  0.000002 0.000787 0.050315 0.020433  0.163007 -0.011757   88849 -0.000002 0.000766 -0.000004
316 87533243908.000000  -0.003591 0.004101 89426  0.000005 0.000787 0.012030 0.140454  0.438669 -0.031639   88622 0.000005 0.000757 -0.000001
317 87539085955.000000  -0.003251 0.004336 89424  -0.000004 0.000802 0.050011 0.044686  -0.321279 0.023172   88795 -0.000007 0.000778 -0.000008
318 87544928002.000000  -0.003210 0.004020 89421  -0.000001 0.000790 0.022511 0.070331  -0.049583 0.003576   88804 -0.000001 0.000766 -0.000003
319 87550770049.000000  -0.003463 0.005227 89418  -0.000001 0.000834 0.046979 0.156657  -0.087815 0.006334   88669 -0.000003 0.000804 -0.000004
320 87556612096.000000  -0.006846 0.006467 89421  0.000008 0.001558 -0.034791 0.045829  0.714038 -0.051499   88712 0.000011 0.001507 0.000026
