# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
66 98011073028.000000  -0.002763 0.002519 76707  -0.000002 0.000636 0.016695 -0.062850  -0.148729 0.012182   76268 -0.000002 0.000621 -0.000008
67 98017707322.500000  -0.002595 0.002594 76728  -0.000000 0.000631 0.026387 -0.015039  -0.019144 0.001568   76183 -0.000001 0.000613 -0.000007
68 98024341617.000000  -0.002788 0.002636 76709  0.000002 0.000655 -0.003656 0.034770  0.184904 -0.015145   76122 0.000003 0.000635 0.000003
69 98030975911.500000  -0.002525 0.002727 76729  -0.000001 0.000619 -0.015767 0.041576  -0.100933 0.008267   76149 -0.000000 0.000600 0.000001
70 98037610206.000000  -0.002713 0.002708 76728  0.000002 0.000627 -0.011896 0.026181  0.187654 -0.015370   76162 0.000004 0.000608 0.000001
71 98044244500.500000  -0.002719 0.002579 76716  -0.000001 0.000627 -0.025588 0.024440  -0.068997 0.005651   76144 0.000000 0.000608 0.000002
72 98050878795.000000  -0.002641 0.002439 76731  -0.000002 0.000625 0.005533 0.004237  -0.169543 0.013886   76157 -0.000002 0.000606 -0.000005
73 98057513089.500000  -0.003401 0.002665 76724  0.000000 0.000655 -0.008344 0.015149  0.018358 -0.001504   76199 0.000000 0.000637 -0.000001
74 98064147384.000000  -0.002455 0.002722 76726  -0.000001 0.000611 0.036711 -0.000651  -0.105192 0.008616   76213 -0.000003 0.000594 -0.000007
75 98070781678.500000  -0.002910 0.002750 76722  0.000000 0.000616 -0.053135 0.008712  0.015236 -0.001248   76222 0.000003 0.000599 0.000004
76 98077415973.000000  -0.002830 0.002794 76720  0.000001 0.000634 -0.027714 0.044039  0.043514 -0.003564   76091 0.000003 0.000613 0.000004
77 98084050267.500000  -0.002678 0.002820 76723  -0.000000 0.000629 0.000520 -0.028510  -0.021902 0.001794   76226 -0.000000 0.000613 0.000000
78 98090684562.000000  -0.003136 0.002977 76716  0.000003 0.000640 0.014042 0.032997  0.212314 -0.017390   76153 0.000002 0.000621 0.000001
79 98097318856.500000  -0.002689 0.002584 76721  -0.000000 0.000630 0.004187 0.043885  -0.025897 0.002121   76108 -0.000001 0.000609 -0.000001
80 98103953151.000000  -0.003068 0.002513 76723  0.000001 0.000605 -0.008341 0.022031  0.066305 -0.005431   76173 0.000001 0.000587 0.000002
81 98110587445.500000  -0.002798 0.002613 76723  0.000001 0.000650 0.002423 -0.045024  0.058921 -0.004826   76267 0.000001 0.000634 -0.000001
82 98117221740.000000  -0.002325 0.002824 76725  -0.000004 0.000612 0.007014 0.054126  -0.328836 0.026933   76106 -0.000005 0.000591 -0.000003
83 98123856034.500000  -0.002960 0.002673 76726  -0.000003 0.000655 -0.019117 -0.022083  -0.207769 0.017017   76238 -0.000003 0.000637 0.000000
84 98130490329.000000  -0.002572 0.002826 76728  -0.000003 0.000625 0.022298 0.017487  -0.266425 0.021822   76166 -0.000004 0.000606 -0.000006
85 98137124623.500000  -0.002613 0.002676 76727  -0.000000 0.000640 0.025539 0.034388  -0.033824 0.002770   76127 -0.000002 0.000619 -0.000002
86 98143758918.000000  -0.002692 0.002462 76728  0.000001 0.000614 0.007331 -0.000433  0.101717 -0.008331   76176 0.000000 0.000596 0.000005
87 98150393212.500000  -0.003497 0.002813 76736  -0.000002 0.000616 -0.008235 0.125309  -0.137058 0.011226   76100 -0.000002 0.000594 -0.000001
88 98157027507.000000  -0.002615 0.002431 76738  -0.000001 0.000648 -0.025101 -0.038153  -0.086782 0.007108   76277 0.000000 0.000632 0.000001
89 98163661801.500000  -0.002618 0.002525 76734  0.000002 0.000617 0.023730 0.007453  0.185596 -0.015201   76214 0.000001 0.000599 -0.000001
90 98170296096.000000  -0.002815 0.002693 76735  -0.000003 0.000654 0.044754 -0.034670  -0.197630 0.016187   76231 -0.000005 0.000637 -0.000008
91 98176930390.500000  -0.002763 0.002470 76731  0.000000 0.000617 -0.023960 0.009761  0.004201 -0.000344   76151 0.000001 0.000598 0.000002
92 98183564685.000000  -0.002548 0.002606 76734  0.000005 0.000632 0.017202 0.016499  0.365293 -0.029919   76201 0.000005 0.000614 0.000003
93 98190198979.500000  -0.002586 0.002646 76735  -0.000000 0.000641 0.041886 0.021418  -0.006417 0.000526   76159 -0.000002 0.000621 -0.000006
94 98196833274.000000  -0.002873 0.002475 76727  -0.000001 0.000598 -0.006587 -0.026339  -0.096969 0.007942   76258 -0.000001 0.000583 -0.000003
95 98203467568.500000  -0.002593 0.002679 76737  -0.000004 0.000656 -0.013480 -0.032217  -0.299885 0.024562   76201 -0.000003 0.000638 -0.000003
96 98210101863.000000  -0.002544 0.002637 76736  -0.000001 0.000610 0.008110 0.052631  -0.103072 0.008442   76127 -0.000001 0.000590 -0.000005
97 98216736157.500000  -0.003185 0.002428 76738  -0.000003 0.000617 -0.021135 0.027563  -0.196616 0.016104   76161 -0.000002 0.000598 -0.000001
98 98223370452.000000  -0.002491 0.002814 76735  -0.000003 0.000641 0.014409 0.016512  -0.220373 0.018050   76166 -0.000004 0.000622 -0.000006
99 98230004746.500000  -0.002447 0.003032 76737  -0.000001 0.000601 0.001182 0.039967  -0.103669 0.008491   76191 -0.000002 0.000583 -0.000001
100 98236639041.000000  -0.002580 0.002622 76734  -0.000002 0.000628 0.038956 0.063610  -0.144632 0.011846   76101 -0.000003 0.000607 -0.000007
101 98243273335.500000  -0.002695 0.002790 76736  0.000001 0.000608 -0.007888 -0.002879  0.063121 -0.005170   76206 0.000000 0.000591 0.000004
